"county_code","date_id","Trump","Clinton","Johnson","Stein"
17119,"0917",2.02,4.97,0,0
17121,"0917",3.09,6.13,0,0
17123,"0917",1.41,5.38,0,0
17125,"0917",2.99,4.17,0,0
17127,"0917",3.11,4.88,0,0
17129,"0917",2.10,6.61,0,0
17131,"0917",2.32,8.83,0,0
17133,"0917",2.52,6.69,0,0
17135,"0917",2.08,4.92,0,0
17137,"0917",1.98,4.42,0,0
17139,"0917",1.03,4.36,0,0
17141,"0917",2.28,5.54,0,0
17143,"0917",2.29,4.97,0,0
17145,"0917",1.74,4.03,0,0
17147,"0917",4.00,5.24,0,0
17149,"0917",2.68,4.98,0,0
17151,"0917",1.55,4.15,0,0
17153,"0917",6.28,4.45,0,0
17155,"0917",2.56,2.99,0,0
17157,"0917",4.87,7.51,0,0
17159,"0917",2.88,5.28,0,0
17161,"0917",2.07,5.08,0,0
17163,"0917",2.10,4.34,0,0
17165,"0917",2.46,4.26,0,0
17167,"0917",2.56,5.64,0,0
17169,"0917",1.58,3.95,0,0
17171,"0917",1.36,3.70,0,0
17173,"0917",1.78,4.46,0,0
17175,"0917",1.35,6.40,0,0
17177,"0917",2.82,5.08,0,0
17179,"0917",2.39,6.37,0,0
17181,"0917",0.89,5.35,0,0
17183,"0917",2.72,4.35,0,0
17185,"0917",2.46,3.42,0,0
17187,"0917",2.57,5.07,0,0
17189,"0917",2.95,5.17,0,0
17191,"0917",3.01,4.99,0,0
17193,"0917",2.92,6.78,0,0
17195,"0917",2.17,5.37,0,0
17197,"0917",3.08,5.11,0,0
17199,"0917",2.62,5.38,0,0
17201,"0917",1.93,4.56,0,0
17203,"0917",2.06,5.45,0,0
18001,"0917",2.16,6.54,0,0
18003,"0917",2.31,5.39,0,0
18005,"0917",2.28,4.53,0,0
18007,"0917",1.54,3.33,0,0
18009,"0917",2.76,4.61,0,0
18011,"0917",2.71,7.00,0,0
18013,"0917",3.73,9.22,0,0
18015,"0917",1.97,4.47,0,0
18017,"0917",2.30,4.33,0,0
18019,"0917",2.53,5.74,0,0
18021,"0917",2.11,4.30,0,0
18023,"0917",2.38,4.60,0,0
18025,"0917",1.43,7.13,0,0
18027,"0917",3.70,4.14,0,0
18029,"0917",3.00,4.71,0,0
18031,"0917",3.47,4.80,0,0
18033,"0917",1.80,4.04,0,0
18035,"0917",2.43,5.19,0,0
18037,"0917",2.98,4.41,0,0
18039,"0917",2.51,5.04,0,0
18041,"0917",1.96,4.22,0,0
18043,"0917",2.02,6.00,0,0
18045,"0917",2.05,4.38,0,0
18047,"0917",3.34,4.74,0,0
18049,"0917",2.00,4.92,0,0
18051,"0917",2.22,4.76,0,0
18053,"0917",1.98,4.36,0,0
18055,"0917",4.93,6.25,0,0
18057,"0917",3.23,7.11,0,0
18059,"0917",2.93,6.27,0,0
18061,"0917",3.62,6.74,0,0
18063,"0917",2.66,6.75,0,0
18065,"0917",2.67,6.15,0,0
18067,"0917",3.24,6.26,0,0
